id,category,breed_name,origin,temperament,coat_care,ideal_weight_guide,key_strengths,potential_health_risks
cat-003,Cats,Siamese,"Thailand (formerly Siam), one of the oldest recognized Asian cat breeds.","Vocal, intelligent, social, and demanding of attention; forms strong bonds with owners.","Short, fine coat with minimal shedding; weekly brushing sufficient.",2.5-5 kg (6-11 lb) for both sexes.,"High intelligence, strong human bonding, low grooming needs, playful energy.","Progressive retinal atrophy, amyloidosis, respiratory issues, congenital heart defects, crossed eyes."
cat-004,Cats,British Shorthair,"United Kingdom, descended from Roman-era domestic cats brought to Britain.","Easygoing, independent, affectionate but not overly clingy; tolerates alone time well.","Dense, plush short coat; weekly brushing, more during seasonal shedding.",4-8 kg (9-17 lb) for both sexes.,"Low-maintenance temperament, tolerance for solitude, sturdy build, calm around children.","Hypertrophic cardiomyopathy, polycystic kidney disease, obesity, hemophilia B (rare)."
cat-005,Cats,Bengal,"United States, developed by crossing domestic cats with Asian leopard cats.","Highly active, curious, athletic, and vocal; needs significant enrichment.","Short, dense pelt-like coat with minimal shedding; weekly brushing.",3.5-7 kg (8-15 lb) for both sexes.,"High energy and agility, distinctive wild-patterned coat, strong hunting instinct, playful engagement.","Hypertrophic cardiomyopathy, progressive retinal atrophy, patellar luxation, Bengal-specific PK deficiency."
cat-006,Cats,Ragdoll,"United States (California), developed in the 1960s from domestic longhair cats.","Docile, affectionate, and relaxed; known for going limp when held ('ragdoll' effect).",Semi-long silky coat with minimal matting tendency; brush 2 times weekly.,Males: 6.8-9 kg (15-20 lb); Females: 4.5-6.8 kg (10-15 lb).,"Gentle handling tolerance, strong family bonding, calm demeanor, good with children.","Hypertrophic cardiomyopathy, bladder stones, obesity due to placid lifestyle."
cat-007,Cats,Sphynx,"Canada, developed in the 1960s from a natural hairless mutation.","Energetic, extroverted, attention-seeking, and highly social.","Hairless or fine down coat; requires weekly bathing to remove skin oil buildup, ear cleaning, and sun protection.",3.5-5.5 kg (8-12 lb) for both sexes.,"Hypoallergenic-leaning skin (less hair dander spread), strong human bonding, playful and social nature.","Hypertrophic cardiomyopathy, skin sensitivities/sunburn, temperature sensitivity, periodontal disease."
cat-008,Cats,Abyssinian,"Believed to originate near the Indian Ocean coast/Southeast Asia, popularized via Ethiopia (Abyssinia).","Active, curious, intelligent, and highly playful; dislikes prolonged confinement.","Short, ticked coat with minimal shedding; weekly brushing.",3-5 kg (7-11 lb) for both sexes.,"High activity and agility, strong curiosity-driven engagement, low grooming needs.","Progressive retinal atrophy, renal amyloidosis, pyruvate kinase deficiency, gingivitis."
cat-009,Cats,Scottish Fold,"Scotland, developed from a spontaneous ear-cartilage mutation in a farm cat in the 1960s.","Sweet-natured, adaptable, quiet-voiced, and affectionate.","Short or long coat variants; weekly brushing for short coat, more frequent for longhair.",2.7-6 kg (6-13 lb) for both sexes.,"Calm and adaptable temperament, distinctive folded-ear appearance, good with families.","Osteochondrodysplasia (cartilage/bone abnormalities linked to the fold gene), arthritis, polycystic kidney disease."
cat-010,Cats,Russian Blue,"Russia (Archangel region), believed to have origins near the port of Arkhangelsk.","Reserved with strangers, deeply loyal to familiar people, gentle and quiet.","Dense, plush double coat; weekly brushing keeps it in good condition.",3-5.5 kg (7-12 lb) for both sexes.,"Low-shedding dense coat, quiet demeanor, strong routine-based bonding, hardiness.","Obesity if overfed, bladder stones, progressive retinal atrophy (rare)."
bird-001,Birds,African Grey Parrot,Equatorial rainforests of West and Central Africa.,"Highly intelligent, sensitive, and capable of advanced vocal mimicry; needs consistent routine.","Feather care: daily misting or bathing, regular preening support, and humidity control to prevent feather plucking.",400-490 g (14-17 oz).,"Exceptional cognitive and language ability, strong bonding, long lifespan (40-60 years).","Feather plucking from stress, calcium deficiency, psittacosis, aspergillosis (respiratory fungal infection)."
bird-002,Birds,Cockatiel,"Australia, native to arid inland regions.","Affectionate, social, and easily tamed; enjoys whistling and interaction.","Feather care: regular misting/bathing, wing trims as needed, keep dust from crest feathers managed.",80-100 g (2.8-3.5 oz).,"Easy to tame and handle, good beginner bird, moderate noise level, strong human bonding.","Fatty liver disease, respiratory infections, night frights, feather cysts."
bird-003,Birds,Budgerigar (Budgie),"Australia, native to open grasslands and scrublands.","Curious, playful, and social, especially in pairs or small flocks.","Feather care: light daily misting, access to a shallow bath, and regular cage feather cleanup.",30-40 g (1-1.4 oz).,"Compact size for small spaces, strong flock sociability, capable of learning words, low cost of care.","Tumors (relatively common in older budgies), scaly face mites, obesity, psittacosis."
bird-004,Birds,Blue-and-Gold Macaw,"Tropical South America, including the Amazon basin.","Bold, affectionate, loud, and highly intelligent; needs a large, enriched space.","Feather care: daily misting/showering, encourage natural preening, monitor for plucking from boredom.",900-1300 g (32-46 oz).,"Strong bonding capacity, impressive lifespan (30-50+ years), high intelligence and trainability.","Proventricular dilatation disease (PDD), feather destructive behavior, beak malocclusion, obesity."
bird-005,Birds,Canary,"Canary Islands, Azores, and Madeira.","Independent, non-cuddly, valued for song rather than physical interaction.",Feather care: shallow bath access several times weekly; minimal handling needed.,12-20 g (0.4-0.7 oz).,"Melodic singing (males), low space requirement, low interaction maintenance, good for songbird enthusiasts.","Air sac mites, scaly leg mites, egg binding in females, obesity from seed-heavy diets."
bird-006,Birds,Umbrella Cockatoo,"Indonesia, native to lowland rainforests.",Extremely affectionate and demanding of attention; prone to separation anxiety.,"Feather care: frequent misting/showering to manage dust (powder down), daily preening interaction.",400-650 g (14-23 oz).,"Deep emotional bonding, expressive body language, long lifespan (40-60 years), striking crest display.","Feather plucking and self-mutilation from anxiety, psittacine beak and feather disease, obesity."
bird-007,Birds,Lovebird,Sub-Saharan Africa and Madagascar.,"Affectionate, energetic, and can be territorial; forms intense pair bonds.","Feather care: daily light misting, shallow bath dish access, regular nail and beak monitoring.",40-60 g (1.4-2.1 oz).,"Strong pair bonding behavior, compact size, vibrant coloration, playful energy.","Chlamydiosis (psittacosis), feather picking, egg binding, obesity from high-fat seed diets."
bird-008,Birds,Amazon Parrot (Yellow-headed),Mexico and Central America.,"Bold, confident, vocal, and capable of strong moods; needs experienced handling.","Feather care: regular showers/misting, monitor for plucking, encourage natural preening behavior.",380-500 g (13-18 oz).,"Strong talking ability, long lifespan (50-70 years), high intelligence, strong personality bonding.","Obesity and fatty liver disease, respiratory infections, feather destructive behavior, vitamin A deficiency."
rabbit-001,Rabbits,Holland Lop,"Netherlands, developed in the 1950s from Netherland Dwarf and French Lop crosses.","Friendly, calm, and affectionate; adapts well to handling.","Short, dense coat requiring weekly brushing, more during molting seasons.",1.4-1.8 kg (3-4 lb).,"Compact size for indoor housing, gentle disposition, good with children under supervision.","Dental malocclusion, ear infections (due to lopped ears), obesity, gastrointestinal stasis."
rabbit-002,Rabbits,Netherland Dwarf,"Netherlands, developed in the early 20th century as one of the smallest rabbit breeds.","Energetic and can be skittish; needs gentle, patient socialization.","Short, flyback coat; weekly brushing, twice weekly during shedding.",0.5-1.1 kg (1.1-2.5 lb).,"Very small footprint, minimal feeding cost, distinct compact appearance.","Dental malocclusion (prominent in dwarf breeds), heart issues, gastrointestinal stasis."
rabbit-003,Rabbits,Flemish Giant,"Flanders, Belgium, dating back to the 16th century.","Docile, gentle, and tolerant of handling despite large size.","Short, dense coat; weekly brushing, more frequent during heavy shedding due to body size.",6.5-10 kg (14-22 lb).,"Calm giant-breed temperament, good companion for supervised children, striking size.","Sore hocks (pododermatitis), obesity, joint/skeletal strain from size, heat sensitivity."
rabbit-004,Rabbits,Rex Rabbit,"France, early 20th century, notable for a genetic mutation producing plush fur.","Calm, curious, and generally easygoing.","Short, dense, velvet-like coat; gentle weekly brushing to avoid damaging fur texture.",3.2-4.5 kg (7-10 lb).,"Distinctive plush coat texture, calm handling tolerance, moderate size for housing.","Sore hocks due to thin foot fur, dental malocclusion, ear mites, gastrointestinal stasis."
rabbit-005,Rabbits,Lionhead Rabbit,"Belgium, developed in the 1990s from a spontaneous mane-gene mutation.","Playful, curious, and sociable; enjoys interaction.",Distinctive mane of long fur around the head; requires daily brushing to prevent matting.,1.4-1.7 kg (3-3.75 lb).,"Distinctive mane appearance, compact size, engaging and playful personality.","Wool block (GI blockage from ingested fur), matting-related skin issues, dental malocclusion."
rabbit-006,Rabbits,English Angora,"Turkey (Ankara region), popularized in England for its wool production.","Gentle and calm, but requires significant grooming commitment and patience.",Very long wool coat requiring daily brushing and regular trimming/shearing to prevent severe matting.,2.3-3.4 kg (5-7.5 lb).,"Luxurious wool production, gentle temperament, unique long-coat appearance.","Wool block, matting-induced skin infections, heat stress due to dense coat, dental issues."
other-001,Others,Guinea Pig (Cavy),"Andes region of South America, domesticated by indigenous peoples thousands of years ago.","Social, gentle, and vocal; thrives with companionship of other guinea pigs.","Short-haired varieties need weekly brushing; long-haired (e.g., Peruvian) need daily grooming.",0.7-1.2 kg (1.5-2.6 lb).,"Docile and easy to handle, strong social bonding with humans and other guinea pigs, low noise level.","Scurvy (vitamin C deficiency), dental malocclusion, respiratory infections, bumblefoot."
other-002,Others,Syrian Hamster,Arid regions of Syria and southern Turkey.,Solitary and territorial with other hamsters; generally docile with individual human handling.,Short coat needs minimal brushing; provide a dust bath for self-grooming.,113-170 g (4-6 oz).,"Low space requirement, easy individual care, nocturnal entertainment value, low cost.","Wet tail disease, dental overgrowth, respiratory infections, obesity."
other-003,Others,Ferret,"Domesticated from the European polecat, likely in the Mediterranean region over 2,000 years ago.","Playful, curious, energetic, and mischievous; needs supervised free-roam time.","Short, dense coat with seasonal shedding; weekly brushing and periodic bathing (not excessive, to preserve skin oils).","0.7-2 kg (1.5-4.5 lb), males typically larger than females.","High playfulness and trainability, strong human bonding, entertaining problem-solving behavior.","Insulinoma (pancreatic tumor), adrenal gland disease, lymphoma, gastrointestinal foreign body obstruction."
other-004,Others,Bearded Dragon,Arid woodlands and deserts of Australia.,"Calm, docile, and generally tolerant of gentle handling; diurnal and interactive.",Skin/scale care: requires proper UVB lighting for healthy shedding; occasional lukewarm baths aid shed removal.,300-600 g (10.5-21 oz) for adults.,"Calm and interactive temperament, manageable size, diurnal schedule matching human activity, expressive behavior.","Metabolic bone disease (from inadequate UVB/calcium), impaction, parasites, respiratory infections."
other-005,Others,Leopard Gecko,"Rocky, arid regions of Afghanistan, Pakistan, Iran, and India.","Docile, low-maintenance, and generally tolerant of light handling.",Skin care: sheds periodically; provide a humid hide to support easy shedding and prevent retained shed.,45-90 g (1.6-3.2 oz) for adults.,"Low space and maintenance requirements, docile temperament, long lifespan (15-20 years), good beginner reptile.","Metabolic bone disease, retained shed (especially toes/tail tip), impaction, tail-related fat storage issues."
other-006,Others,Hedgehog (African Pygmy),"Hybrid of African species, popularized as a pet in the United States.","Solitary, shy initially, but can become tolerant of gentle handling with consistent socialization.",Quill (modified hair) care: minimal brushing needed; occasional lukewarm baths to manage skin and quill cleanliness.,300-600 g (10.5-21 oz) for adults.,"Low space requirement, quiet and low-odor, unique defensive quill behavior, solitary care simplicity.","Wobbly hedgehog syndrome (neurological), obesity, mite infestations, dental disease."
dog-013,Dogs,Boxer,"Germany, late 19th century, descended from the Bullenbeisser hunting dog.","Playful, energetic, loyal, and patient with children; retains puppy-like enthusiasm into adulthood.","Short, smooth coat with minimal shedding; weekly wipe-down or brushing.",Males: 27-32 kg (60-70 lb); Females: 25-29 kg (55-65 lb).,"Strong guarding instinct, high energy for active families, trainability, affectionate nature.","Hypertrophic cardiomyopathy, hip dysplasia, bloat (GDV), brachycephalic breathing issues, cancer predisposition."
dog-014,Dogs,Doberman Pinscher,"Germany, late 19th century, developed by Karl Friedrich Louis Dobermann as a personal protection dog.","Alert, loyal, intelligent, and fearless; needs firm early training and socialization.","Short, smooth single coat; weekly brushing, minimal grooming needs.",Males: 34-45 kg (75-100 lb); Females: 27-41 kg (60-90 lb).,"Excellent guard and working dog, high trainability, athleticism, strong loyalty.","Dilated cardiomyopathy, von Willebrand's disease, hip dysplasia, wobbler syndrome (cervical vertebral instability)."
dog-015,Dogs,Great Dane,"Germany, developed from mastiff and greyhound-type dogs for boar hunting.","Gentle, friendly, and affectionate 'gentle giant'; good with families despite imposing size.","Short, smooth coat with light shedding; weekly brushing.",Males: 54-90 kg (120-200 lb); Females: 45-59 kg (100-130 lb).,"Calm giant-breed temperament, good watchdog presence, gentle with children when socialized.","Bloat (GDV, high risk due to deep chest), hip dysplasia, dilated cardiomyopathy, bone cancer, shortened lifespan."
dog-016,Dogs,Yorkshire Terrier,"England (Yorkshire), 19th century, bred originally to catch rats in textile mills.","Bold, confident, affectionate, and sometimes feisty with a big-dog attitude.","Long, silky, human-hair-like coat requiring daily brushing; often kept in a shorter 'puppy cut'.",2-3.2 kg (4-7 lb) for both sexes.,"Compact apartment-friendly size, hypoallergenic-leaning coat, strong personality and loyalty.","Tracheal collapse, patellar luxation, dental crowding, portosystemic liver shunt, hypoglycemia."
dog-017,Dogs,Dalmatian,"Croatia (Dalmatia region), historically used as a coach/carriage escort dog.","Energetic, outgoing, and loyal; needs substantial daily exercise and mental stimulation.","Short, dense coat that sheds year-round; brush 2-3 times weekly to manage shedding.",20-32 kg (45-70 lb) for both sexes.,"High endurance and stamina, distinctive spotted coat, strong bonding with active households.","Congenital deafness, urinary/kidney stones (urate stones), hip dysplasia, skin allergies."
dog-018,Dogs,Cavalier King Charles Spaniel,"United Kingdom, developed as a royal companion breed in the 20th century from older toy spaniels.","Affectionate, gentle, eager to please, and adaptable to most households.","Medium-length silky coat; brush 2-3 times weekly, extra attention to ear feathering.",5.4-8.2 kg (12-18 lb) for both sexes.,"Excellent companion temperament, adaptability to apartment or family life, gentle with children.","Mitral valve disease, syringomyelia, hip dysplasia, ear infections due to long ears."
dog-019,Dogs,Australian Shepherd,"United States, despite the name, developed by ranchers in the American West for herding.","Intelligent, energetic, and highly trainable; needs a job or consistent mental engagement.",Medium-length double coat with moderate to heavy shedding; brush 2-3 times weekly.,Males: 25-32 kg (55-70 lb); Females: 16-25 kg (35-55 lb).,"Outstanding herding and agility ability, trainability, versatility in dog sports, strong work drive.","Hip dysplasia, collie eye anomaly, epilepsy, MDR1 drug sensitivity gene mutation."
dog-020,Dogs,Bernese Mountain Dog,"Swiss Alps, bred as a farm and draft dog by Swiss farmers.","Calm, affectionate, gentle, and good-natured with families.","Long, thick double coat with heavy shedding; brush 2-3 times weekly, daily during seasonal shedding.",Males: 38-50 kg (84-110 lb); Females: 36-45 kg (79-99 lb).,"Gentle giant temperament, strong family bonding, cold tolerance, good working/draft ability.","Cancer (notably histiocytic sarcoma), hip and elbow dysplasia, bloat, shortened average lifespan (7-9 years)."
dog-021,Dogs,Cocker Spaniel,"England/United States, developed as a gundog for flushing woodcock.","Gentle, affectionate, eager to please, and sociable with families.",Medium-length silky coat requiring brushing 3-4 times weekly and regular professional trimming.,Males: 12-16 kg (26-34 lb); Females: 11-14.5 kg (24-32 lb).,"Excellent family companion, trainability, good with children, moderate exercise needs.","Ear infections due to long ears, progressive retinal atrophy, hip dysplasia, seborrhea (skin condition)."
dog-022,Dogs,Pug,"China, one of the oldest dog breeds, bred as a companion for Chinese emperors.","Charming, affectionate, sociable, and low-energy; thrives on companionship.","Short, smooth coat with notable shedding; weekly brushing and regular cleaning of facial wrinkles.",6.3-8.2 kg (14-18 lb) for both sexes.,"Excellent apartment companion, low exercise requirement, affectionate and easygoing nature.","Brachycephalic airway syndrome, obesity, skin fold dermatitis, eye proptosis, hemivertebrae."
dog-023,Dogs,Shiba Inu,"Japan, one of the oldest native Japanese dog breeds, originally used for hunting small game.","Independent, alert, bold, and somewhat cat-like in aloofness; strong-willed.","Thick double coat with heavy seasonal shedding; brush 2-3 times weekly, daily during coat blow.",Males: 10-13 kg (22-29 lb); Females: 8-11 kg (17-24 lb).,"Compact size, low odor, cleanliness (self-grooming habits), strong independent working drive.","Hip and patellar luxation, allergies, glaucoma, progressive retinal atrophy."
dog-024,Dogs,Bull Terrier,"England, 19th century, developed from bulldog and terrier crosses for sport and companionship.","Playful, mischievous, strong-willed, and affectionate with an egg-shaped head signature look.","Short, flat coat with minimal grooming needs; weekly brushing.",22-38 kg (50-85 lb) for both sexes.,"Strong build and resilience, playful energetic personality, distinctive appearance and loyalty.","Deafness (linked to white coat coloring), heart disease, kidney disease, skin allergies, compulsive tail-chasing."
dog-025,Dogs,Newfoundland,"Newfoundland, Canada, bred as a working dog for fishermen, skilled in water rescue.","Sweet, patient, and gentle; known as a 'nanny dog' for its calm nature with children.","Thick, water-resistant double coat with heavy shedding; brush 2-3 times weekly.",Males: 60-70 kg (130-150 lb); Females: 45-54 kg (100-120 lb).,"Exceptional swimming/water rescue ability, gentle giant temperament, strong protective instinct without aggression.","Hip and elbow dysplasia, subvalvular aortic stenosis, bloat, cystinuria (a hereditary kidney stone condition)."
dog-026,Dogs,Pembroke Welsh Corgi,"Wales, bred over 1,000 years ago for cattle herding.","Intelligent, energetic, affectionate, and bold despite small stature.",Medium double coat with heavy shedding; brush 2-3 times weekly.,Males: up to 13.6 kg (30 lb); Females: up to 11.8 kg (26 lb).,"Excellent herding instinct in a small package, high trainability, adaptable to family life.","Intervertebral disc disease due to long spine, hip dysplasia, obesity, degenerative myelopathy."
cat-011,Cats,Norwegian Forest Cat,"Norway, a natural breed adapted to cold Scandinavian climates.","Independent, gentle, and good climbers; enjoys both solitude and family interaction.","Long, thick, water-resistant double coat; brush 2-3 times weekly, more during spring shedding.",Males: 5.5-9 kg (12-20 lb); Females: 3.6-5.5 kg (8-12 lb).,"Cold-weather hardiness, strong climbing agility, calm adaptable temperament.","Hypertrophic cardiomyopathy, glycogen storage disease IV, hip dysplasia."
cat-012,Cats,Devon Rex,"England (Devon), 1960s, from a natural curly-coat mutation.","Playful, mischievous, highly social, and dog-like in its attachment to people.","Short, wavy, fine coat; minimal brushing needed but regular skin oil management as coat is thin.",2.5-4 kg (6-9 lb) for both sexes.,"Low shedding, playful and interactive personality, strong human bonding, compact size.","Hypertrophic cardiomyopathy, hereditary myopathy, patellar luxation, skin sensitivity."
cat-013,Cats,Burmese,"Myanmar (Burma), developed further in the United States and United Kingdom in the 20th century.","Affectionate, sociable, playful, and vocal but softer-voiced than Siamese.","Short, glossy, single-layer coat; weekly brushing keeps shine.",3.6-5.4 kg (8-12 lb) for both sexes.,"Strong human attachment, low grooming needs, playful into adulthood.","Diabetes mellitus predisposition, cranial deformities (in some lines), hypokalemia, feline orofacial pain syndrome."
cat-014,Cats,Turkish Angora,"Turkey (Ankara region), one of the oldest natural cat breeds.","Intelligent, energetic, and affectionate; enjoys interactive play and water.","Long, silky, single-layer coat with minimal matting tendency; brush 2 times weekly.",2.5-5 kg (5.5-11 lb) for both sexes.,"Elegant low-matting coat, high intelligence, playful and social nature.","Hereditary deafness (linked to white coat/blue eyes), hypertrophic cardiomyopathy, ataxia (rare)."
cat-015,Cats,Himalayan,"United States/United Kingdom, developed mid-20th century by crossing Persians with Siamese.","Calm, gentle, and affectionate, combining Persian placidity with mild Siamese vocal traits.","Long, dense coat requiring daily brushing to prevent matting; regular eye area cleaning.",3.2-5.5 kg (7-12 lb) for both sexes.,"Calm indoor temperament, striking color-point appearance, affectionate lap-cat nature.","Polycystic kidney disease, brachycephalic breathing issues, progressive retinal atrophy."
cat-016,Cats,Oriental Shorthair,"United Kingdom, developed from Siamese breeding lines in a wide array of colors and patterns.","Highly vocal, social, intelligent, and demanding of interaction.","Short, fine coat with minimal shedding; weekly brushing.",2.5-5 kg (6-11 lb) for both sexes.,"High intelligence and trainability, strong human bonding, low grooming needs.","Progressive retinal atrophy, amyloidosis, dental disease, respiratory sensitivity."
cat-017,Cats,American Shorthair,"United States, descended from early European domestic cats brought by colonists.","Easygoing, adaptable, and moderately independent; good all-around family cat.","Short, dense coat; weekly brushing, more during seasonal shedding.",3.2-6.8 kg (7-15 lb) for both sexes.,"Hardy constitution, low-maintenance grooming, adaptable and even temperament.","Hypertrophic cardiomyopathy, obesity, polycystic kidney disease (less common than in Persians)."
cat-018,Cats,Manx,"Isle of Man, a natural breed known for its taillessness from a spontaneous genetic mutation.","Playful, loyal, and dog-like, often forming a strong bond with one household.","Short or long coat variants; weekly brushing, more for longhaired type.",3.6-5.5 kg (8-12 lb) for both sexes.,"Strong hunting instinct, loyal companionship, distinctive tailless or stub-tailed appearance.","Manx syndrome (spinal cord/vertebral abnormalities), arthritis, constipation and bowel issues."
cat-019,Cats,Birman,"Myanmar/France, associated with legends of sacred temple cats, standardized in France.","Gentle, affectionate, and calm; sociable without being overly demanding.",Semi-long silky coat with low matting tendency; brush 2 times weekly.,3.2-5.4 kg (7-12 lb) for both sexes.,"Low-matting semi-long coat, gentle even temperament, good with children and other pets.","Hypertrophic cardiomyopathy, congenital hypotrichosis (rare), kidney issues."
cat-020,Cats,Tonkinese,"Canada, developed by crossing Siamese and Burmese breeds.","Playful, social, and vocal, blending the energy of Siamese with the affection of Burmese.","Short, close-lying coat; weekly brushing.",2.5-5.4 kg (6-12 lb) for both sexes.,"Highly interactive personality, strong human bonding, moderate low-maintenance coat.","Progressive retinal atrophy, dental disease, respiratory sensitivity, amyloidosis (rare)."
cat-021,Cats,Egyptian Mau,"Egypt, one of the oldest natural spotted cat breeds, with imagery dating to ancient Egypt.","Athletic, alert, and loyal, often reserved with strangers but affectionate with family.","Short, dense, naturally spotted coat; weekly brushing.",2.5-5 kg (5.5-11 lb) for both sexes.,"Exceptional speed and agility (one of the fastest domestic cats), naturally occurring spotted coat, strong bonding with familiar people.","Hypertrophic cardiomyopathy, patellar luxation, sensitivity to anesthesia."
