id,category,breed_name,origin,temperament,coat_care,ideal_weight_guide,key_strengths,potential_health_risks
dog-011,Dogs,Rottweiler,ドイツはローマのドラバー犬の子孫であり、歴史的に牛を集めたり荷車を引いたりするために使用されていました。,自信があり、穏やかで、保護的で忠実なので、早期の社会化と体系的な訓練が必要です。,短くて密度の高いダブルコートで、適度な抜け毛が特徴です。毎週のブラッシング。,男性: 50-60 kg (110-132 ポンド)。女性: 35 ～ 48 kg (77 ～ 106 ポンド)。,守備能力、筋力とスタミナ、仕事の訓練のしやすさ、家族への深い忠誠心。,股関節および肘の異形成、骨肉腫、大動脈下狭窄、膨満感（GDV）。
dog-012,Dogs,Shih Tzu,チベット/中国で王族の愛玩犬として飼育されています。,愛情深く、社交的で、フレンドリーです。活発な活動よりも交友関係に適しています。,長くて流れるようなダブルコートなので、毎日のブラッシングか、毎月のトリミングによる短い「パピーカット」が必要です。,男女とも4～7kg（9～16ポンド）。,コンパクトなコンパニオンサイズ、最小限の運動要件、愛情深い気質、屋内での適応性。,短頭種気道の問題、眼潰瘍、歯の密集、股関節形成不全、門脈大循環シャント。
cat-001,Cats,Persian,ペルシャ (現在のイラン)、知られている中で最も古い猫の品種の 1 つ。,穏やかで、優しく、愛情深い。静かで予測可能な環境を好みます。,長くて密な被毛は、つや消しを防ぐために毎日のブラッシングが必要です。目の周りの定期的な洗顔。,男女とも 3.5 ～ 5.5 kg (8 ～ 12 ポンド)。,室内での穏やかな付き合い、活動性の低さ、扱いやすさ、印象的な外観。,多発性嚢胞腎、短頭種呼吸の問題、歯の不正咬合、涙管オーバーフロー。
cat-002,Cats,Maine Coon,アメリカ（メイン州）、北アメリカで最も古い自然品種のひとつ。,社交的で遊び心があり、穏やかで大柄な性格。子供や犬との相性が良い。,長く毛むくじゃらの耐水性の被毛。もつれを防ぐために週に2〜3回ブラッシングしてください。,オス: 5.9-8.2 kg (13-18 ポンド)。女性: 3.6 ～ 5.4 kg (8 ～ 12 ポンド)。,犬のような社交性、耐寒性、優れた狩猟本能、順応性のある気質を備えた大型の体格。,肥大型心筋症、股関節形成不全、脊髄性筋萎縮症、大きな体格による肥満。
cat-003,Cats,Siamese,タイ（旧シャム）、アジアで最も古くから認められている猫の品種のひとつ。,声が高く、知的で、社交的で、注目を集める傾向があります。飼い主と強い絆を結びます。,短くて上質な被毛で、抜け毛が最小限に抑えられています。毎週のブラッシングで十分です。,男女とも 2.5 ～ 5 kg (6 ～ 11 ポンド)。,高い知能、強い人間関係、少ない身だしなみ、遊び心のあるエネルギー。,進行性網膜萎縮、アミロイドーシス、呼吸器疾患、先天性心疾患、寄り目。
cat-004,Cats,British Shorthair,イギリス、ローマ時代にイギリスに持ち込まれた飼い猫の子孫。,おおらかで、独立心があり、愛情深いが、あまりしがみつくことはありません。一人の時間によく耐えます。,密度の高い豪華なショートコート。毎週のブラッシング、季節の換毛期にはさらにブラッシングを行ってください。,男女とも4～8kg（9～17ポンド）。,保守的な気質、孤独への耐性、頑丈な体格、子供の周りでは穏やかです。,肥大型心筋症、多発性嚢胞腎、肥満、血友病B（まれ）。
cat-005,Cats,Bengal,アメリカで、イエネコとアジアのヒョウネコを交配して開発されました。,非常に活動的で、好奇心旺盛で、運動能力があり、声が出しやすい。大幅な強化が必要です。,短くて密度の高い毛皮のような被毛で、抜け毛は最小限に抑えられています。毎週のブラッシング。,男女とも 3.5 ～ 7 kg (8 ～ 15 ポンド)。,高いエネルギーと敏捷性、独特のワイルドな模様の被毛、強い狩猟本能、遊び心のある魅力。,肥大型心筋症、進行性網膜萎縮、膝蓋骨脱臼、ベンガル特異的PK欠損症。
cat-006,Cats,Ragdoll,アメリカ（カリフォルニア州）で、1960年代に国内の長毛種の猫から開発されました。,従順で、愛情深く、リラックスしています。持つとぐったりすることで知られています (「ラグドール」効果)。,マットな傾向が最小限に抑えられたセミロングのシルキーな被毛。週に2回ブラッシングしてください。,オス: 6.8-9 kg (15-20 ポンド)。女性: 4.5 ～ 6.8 kg (10 ～ 15 ポンド)。,穏やかな扱いに寛容、強い家族の絆、穏やかな態度、子供たちとの付き合いが上手。,肥大型心筋症、膀胱結石、穏やかな生活習慣による肥満。
cat-007,Cats,Sphynx,カナダ、1960 年代に自然の無毛突然変異から開発されました。,エネルギッシュで、外向的で、注目を集めたがり、非常に社交的です。,毛のない、または上質なダウンコート。皮脂の蓄積を取り除くために週に一度の入浴、耳掃除、日焼け止めが必要です。,男女とも 3.5 ～ 5.5 kg (8 ～ 12 ポンド)。,低刺激性の皮膚（毛フケの広がりが少ない）、人間の強い絆、遊び心と社交性。,肥大型心筋症、皮膚過敏症/日焼け、温度過敏症、歯周病。
cat-008,Cats,Abyssinian,インド洋沿岸/東南アジア付近が原産と考えられており、エチオピア (アビシニア) を経由して広まりました。,活発で、好奇心旺盛で、知的で、とても遊び心があります。長期間の監禁を嫌う。,短い、カチカチの被毛で、抜け毛が最小限に抑えられています。毎週のブラッシング。,男女とも 3 ～ 5 kg (7 ～ 11 ポンド)。,高い活動性と機敏性、強い好奇心による関与、低いグルーミングの必要性。,進行性網膜萎縮、腎アミロイドーシス、ピルビン酸キナーゼ欠損症、歯肉炎。
cat-009,Cats,Scottish Fold,スコットランド。1960 年代に飼い猫の耳軟骨の自然突然変異から発症しました。,優しい性格、順応性、静かな声、そして愛情深い。,ショートまたはロングコートのバリエーション。短い被毛の場合は毎週、長い被毛の場合はより頻繁にブラッシングしてください。,男女とも 2.7 ～ 6 kg (6 ～ 13 ポンド)。,穏やかで順応性のある気質、特徴的な折れ耳の外観、家族連れに適しています。,骨軟骨異形成症（フォールド遺伝子に関連する軟骨/骨の異常）、関節炎、多発性嚢胞腎。
cat-010,Cats,Russian Blue,ロシア（アルハンゲリスク地域）、アルハンゲリスク港近くが起源と考えられています。,見知らぬ人に対しては控えめで、親しい人々に対しては深い忠誠心を持ち、穏やかで物静かです。,緻密で豪華なダブルコート。毎週のブラッシングで良好な状態を保ちます。,男女とも 3 ～ 5.5 kg (7 ～ 12 ポンド)。,抜け毛が少なく、緻密な被毛、静かな態度、日常生活に基づいた強い絆、丈夫さ。,食べ過ぎによる肥満、膀胱結石、進行性網膜萎縮症（まれ）。
bird-001,Birds,African Grey Parrot,西アフリカと中央アフリカの赤道直下の熱帯雨林。,非常に知的で感受性が高く、高度な音声模倣が可能です。一貫したルーチンが必要です。,羽毛のケア：毎日の霧吹きや入浴、定期的な羽繕いのサポート、羽毛の抜け毛を防ぐための湿度管理。,400～490g（14～17オンス）。,卓越した認知能力と言語能力、強い絆、長寿命（40～60歳）。,ストレス、カルシウム欠乏症、オウム病、アスペルギルス症（呼吸器真菌感染症）による羽のむしり。
bird-002,Birds,Cockatiel,オーストラリア、内陸部の乾燥地帯が原産。,愛情深く、社交的で、飼いならされやすい。口笛と交流を楽しんでいます。,羽のケア: 定期的な霧吹き/水浴び、必要に応じて翼のトリミング、冠羽からのほこりを管理します。,80〜100g（2.8〜3.5オンス）。,飼いならしやすく、扱いやすい、初心者に適した鳥、適度な騒音レベル、人間の絆が強い。,脂肪肝疾患、呼吸器感染症、夜驚症、羽毛嚢胞。
bird-003,Birds,Budgerigar (Budgie),オーストラリア、開けた草原や低木地に自生。,好奇心旺盛で遊び好きで社交的で、特につがいや小さな群れで行動します。,羽のケア：毎日軽い霧吹き、浅いお風呂へのアクセス、定期的なケージの羽の掃除。,30～40g（1～1.4オンス）。,狭いスペースにも置けるコンパクトなサイズ、群れの社交性が高く、言葉を学ぶことができ、飼育コストが低い。,腫瘍（年長のセキセイインコに比較的多い）、顔ダニ、肥満、オウム病。
bird-004,Birds,Blue-and-Gold Macaw,アマゾン盆地を含む熱帯南アメリカ。,大胆で、愛情深く、声が大きく、非常に知性があります。広くて豊かな空間が必要です。,羽の手入れ：毎日霧吹きやシャワーを浴び、自然な羽繕いを促し、退屈からの羽の抜け具合を監視します。,900～1300g（32～46オンス）。,強力な接着能力、優れた寿命 (30 ～ 50 年以上)、高い知性と訓練性。,前室拡張症（PDD）、羽の破壊行動、くちばしの不正咬合、肥満。
bird-005,Birds,Canary,カナリア諸島、アゾレス諸島、マデイラ島。,自立していて、抱きしめたりせず、身体的な交流よりも歌を重視します。,羽毛のケア: 週に数回、浅いお風呂に入る。最小限の取り扱いが必要です。,12～20g（0.4～0.7オンス）。,メロディックな鳴き声（オス）、必要なスペースが少なく、インタラクションのメンテナンスが少なく、鳴き鳥愛好家に適しています。,気嚢ダニ、鱗片脚ダニ、雌の結卵、種子の多い食事による肥満。
bird-006,Birds,Umbrella Cockatoo,インドネシア、低地の熱帯雨林に自生。,非常に愛情深く、注意を要求します。分離不安になりやすい。,羽毛のケア: 頻繁に霧吹きやシャワーを浴びて埃 (パウダーダウン) を管理し、毎日羽繕いをします。,400～650g（14～23オンス）。,深い感情的な絆、表現豊かなボディランゲージ、長寿命（40～60年）、印象的な紋章の表示。,不安による羽むしりと自傷行為、オウムのくちばしと羽の病気、肥満。
bird-007,Birds,Lovebird,サハラ以南のアフリカとマダガスカル。,愛情深く、精力的で、縄張り意識を持つこともあります。強いペアの絆を形成します。,羽の手入れ：毎日軽い霧吹き、浅い浴槽へのアクセス、定期的な爪とくちばしの監視。,40～60g（1.4～2.1オンス）。,強力なペア結合挙動、コンパクトなサイズ、鮮やかな色、遊び心のあるエネルギー。,クラミジア症（オウム病）、羽根むし、結卵、高脂肪種子食による肥満。
bird-008,Birds,Amazon Parrot (Yellow-headed),メキシコと中央アメリカ。,大胆で、自信があり、声が大きく、強い気分を表現することができます。経験豊富な取り扱いが必要です。,羽毛の手入れ: 定期的にシャワーや霧吹きをし、毛の抜け具合を監視し、自然な羽繕い行動を促します。,380～500g（13～18オンス）。,強い会話能力、長寿（50～70歳）、高い知能、強い個性の絆。,肥満および脂肪肝疾患、呼吸器感染症、羽毛破壊行動、ビタミン A 欠乏症。
rabbit-001,Rabbits,Holland Lop,ネザーランドは、1950年代にネザーランドドワーフとフレンチロップの交配から開発されました。,フレンドリーで、穏やかで、愛情深い。ハンドリングによく適応します。,短くて密な被毛には毎週のブラッシングが必要で、換毛期にはさらにブラッシングが必要です。,1.4 ～ 1.8 kg (3 ～ 4 ポンド)。,屋内用のコンパクトなサイズで、穏やかな性格で、監視下の子供たちにも適しています。,歯の不正咬合、耳の感染症（垂れ耳による）、肥満、胃腸のうっ滞。
rabbit-002,Rabbits,Netherland Dwarf,オランダでは、20世紀初頭に最小のウサギの品種の1つとして開発されました。,精力的で、気まぐれなところもあります。穏やかで忍耐強い社交性が必要です。,ショート丈のフライバックコート。週に一度のブラッシング、換毛期には週に2回。,0.5 ～ 1.1 kg (1.1 ～ 2.5 ポンド)。,非常に小さな設置面積、最小限の供給コスト、独特のコンパクトな外観。,歯の不正咬合（矮性犬種で顕著）、心臓の問題、胃腸のうっ滞。
rabbit-003,Rabbits,Flemish Giant,ベルギーのフランダース地方の歴史は16世紀にまで遡ります。,大きい体にもかかわらず、従順で優しく、扱いに寛容です。,短くて密な被毛。ブラッシングは毎週、体の大きさから抜け毛が多い時期にはより頻繁に行います。,6.5〜10kg（14〜22ポンド）。,穏やかな巨大犬の気質、監視された子供の良いパートナー、印象的な大きさ。,飛節の痛み（足皮膚炎）、肥満、サイズによる関節や骨格の歪み、熱過敏症。
rabbit-004,Rabbits,Rex Rabbit,20世紀初頭のフランス、豪華な毛皮を生み出す遺伝子の突然変異で有名。,穏やかで好奇心旺盛、そして基本的におおらかな性格。,短くて密なベルベットのような被毛。毛皮の質感を傷つけないように、毎週優しくブラッシングしてください。,3.2 ～ 4.5 kg (7 ～ 10 ポンド)。,独特のプラッシュコートの質感、穏やかな取り扱い耐性、ハウジングに適した適度なサイズ。,薄い足の毛皮、歯の不正咬合、耳ダニ、胃腸のうっ滞による飛節の痛み。
rabbit-005,Rabbits,Lionhead Rabbit,ベルギーで、1990 年代にたてがみ遺伝子の自然突然変異から発生しました。,遊び心があり、好奇心旺盛で、社交的です。交流を楽しんでいます。,頭の周りの長い毛皮の独特のたてがみ。マットを防ぐために毎日のブラッシングが必要です。,1.4 ～ 1.7 kg (3 ～ 3.75 ポンド)。,独特のたてがみの外観、コンパクトなサイズ、魅力的で遊び心のある性格。,ウールブロック（毛皮の摂取による消化管閉塞）、マット関連の皮膚の問題、歯の不正咬合。
rabbit-006,Rabbits,English Angora,トルコ（アンカラ地方）、羊毛の生産でイギリスに普及。,穏やかで穏やかですが、かなりの手入れと忍耐が必要です。,非常に長いウールの被毛なので、ひどい艶消しを防ぐために毎日のブラッシングと定期的なトリミング/剪断が必要です。,2.3 ～ 3.4 kg (5 ～ 7.5 ポンド)。,贅沢なウールの生産、穏やかな気質、独特のロングコートの外観。,ウールブロック、マットによる皮膚感染症、密な被毛による熱ストレス、歯の問題。
other-001,Others,Guinea Pig (Cavy),数千年前に先住民族によって家畜化された南米のアンデス地方。,社交的で、優しく、声が大きい。他のモルモットと交友関係を持ちながら成長します。,短毛種の場合は毎週のブラッシングが必要です。長毛種（ペルー人など）は毎日のグルーミングが必要です。,0.7 ～ 1.2 kg (1.5 ～ 2.6 ポンド)。,従順で扱いやすく、人間や他のモルモットとの強い社会的絆、低騒音レベル。,壊血病（ビタミンC欠乏症）、歯の不正咬合、呼吸器感染症、バンブルフット。
other-002,Others,Syrian Hamster,シリアとトルコ南部の乾燥地帯。,単独で行動し、他のハムスターと縄張り意識を持ちます。一般的に人間の個別の扱いには従順です。,短い被毛には最小限のブラッシングが必要です。セルフグルーミング用のダストバスを提供します。,113～170g（4～6オンス）。,必要なスペースが少なく、個別のケアが容易で、夜のエンターテイメントとしての価値があり、コストが低い。,ウェットテール病、歯の異常成長、呼吸器感染症、肥満。
other-003,Others,Ferret,"おそらく 2,000 年以上前に地中海地域でヨーロッパのケナガイタチから家畜化されました。",遊び心があり、好奇心旺盛で、エネルギッシュで、いたずら好きです。監視されたフリーローミング時間が必要です。,短くて密な被毛は季節ごとに抜け毛が見られます。毎週のブラッシングと定期的な入浴（皮脂を保つため、過度にしないでください）。,体重は 0.7 ～ 2 kg (1.5 ～ 4.5 ポンド)、通常オスの方がメスよりも大きくなります。,高い遊び心と訓練性、強い人間関係、楽しい問題解決行動。,インスリノーマ（膵臓腫瘍）、副腎疾患、リンパ腫、消化管異物閉塞。
other-004,Others,Bearded Dragon,オーストラリアの乾燥した森林と砂漠。,穏やかで従順で、穏やかな扱いに一般的に寛容です。昼行性かつインタラクティブ。,皮膚/鱗のケア: 健康的な脱皮には適切な UVB 照明が必要です。時々ぬるめのお風呂に入ると抜け毛の除去に役立ちます。,大人の場合は 300 ～ 600 g (10.5 ～ 21 オンス)。,穏やかでインタラクティブな気質、扱いやすいサイズ、人間の活動に合わせた日内スケジュール、表現力豊かな行動。,代謝性骨疾患（不十分な UVB/カルシウムによる）、宿便、寄生虫、呼吸器感染症。
other-005,Others,Leopard Gecko,アフガニスタン、パキスタン、イラン、インドの岩だらけの乾燥地帯。,従順で、手入れの手間がかからず、軽い扱いにも一般的に耐えられます。,スキンケア：定期的に脱皮します。湿気の多い皮を提供して、脱皮を容易にし、脱落の保持を防ぎます。,大人の場合は 45 ～ 90 g (1.6 ～ 3.2 オンス)。,スペースとメンテナンスの必要性が低く、性格は従順で、寿命が長く（15〜20年）、爬虫類の初心者に適しています。,代謝性骨疾患、抜け毛の残存（特につま先/尾端）、宿便、尾関連の脂肪蓄積の問題。
other-006,Others,Hedgehog (African Pygmy),アフリカ種の雑種で、米国でペットとして人気があります。,最初は孤独で恥ずかしがり屋ですが、一貫して社交化することで穏やかな扱いに寛容になることができます。,クイル (加工毛) のケア: 最小限のブラッシングが必要です。皮膚と羽根ペンを清潔に保つために、時々ぬるめのお風呂に入ります。,大人の場合は 300 ～ 600 g (10.5 ～ 21 オンス)。,必要なスペースが少なく、静かで低臭、独特の防御的な羽ペンの動作、単独でのケアの容易さ。,ぐらつきハリネズミ症候群（神経系）、肥満、ダニの寄生、歯科疾患。
dog-013,Dogs,Boxer,19世紀後半のドイツの狩猟犬ブレンバイサーの子孫です。,遊び好きで、精力的で、忠実で、子供たちに対して忍耐強く接します。子犬のような熱意を大人になっても保ちます。,短く滑らかな被毛で、抜け毛が最小限に抑えられています。毎週の拭き取りまたはブラッシング。,男性: 27 ～ 32 kg (60 ～ 70 ポンド)。女性: 25 ～ 29 kg (55 ～ 65 ポンド)。,強い防衛本能、活発な家族のための高いエネルギー、しつけのしやすさ、愛情深い性質。,肥大型心筋症、股関節形成不全、むくみ（GDV）、短頭種の呼吸の問題、がんの素因。
dog-014,Dogs,Doberman Pinscher,19世紀後半のドイツで、カール・フリードリヒ・ルイス・ドーベルマンによって個人の保護犬として開発されました。,警戒心が強く、忠実で、知的で、恐れを知らない。しっかりとした早期の訓練と社会化が必要です。,短く滑らかなシングルコート。毎週のブラッシング、最小限のグルーミング。,男性: 34 ～ 45 kg (75 ～ 100 ポンド)。女性: 27 ～ 41 kg (60 ～ 90 ポンド)。,優れた番犬および使役犬、高い訓練能力、運動能力、強い忠誠心。,拡張型心筋症、フォン・ヴィレブランド病、股関節形成不全、ワブラー症候群（頸椎の不安定性）。
dog-015,Dogs,Great Dane,ドイツで、イノシシ狩りのためにマスティフとグレイハウンドタイプの犬から開発されました。,優しく、フレンドリーで、愛情深い「優しい巨人」。印象的なサイズにもかかわらず、家族連れに適しています。,短く滑らかな被毛で、軽い抜け毛が特徴です。毎週のブラッシング。,男性: 54 ～ 90 kg (120 ～ 200 ポンド)。女性: 45 ～ 59 kg (100 ～ 130 ポンド)。,穏やかな巨人族の気質、番犬としての存在感が良く、社交的には子供にも優しい。,膨満感（GDV、胸が深いためリスクが高い）、股関節形成不全、拡張型心筋症、骨がん、寿命の短縮。
dog-016,Dogs,Yorkshire Terrier,19世紀のイギリス（ヨークシャー）では、元々は繊維工場でネズミを捕まえるために品種改良されました。,大胆で、自信があり、愛情深く、時には大型犬のような態度で勇敢です。,長くて絹のような人毛のような被毛は、毎日のブラッシングが必要です。短い「パピーカット」で飼われることがよくあります。,男女とも 2 ～ 3.2 kg (4 ～ 7 ポンド)。,アパートに適したコンパクトなサイズ、低刺激性の毛並み、強い個性と忠誠心。,気管虚脱、膝蓋骨脱臼、歯の密集、門脈大循環性肝シャント、低血糖。
dog-017,Dogs,Dalmatian,クロアチア (ダルマチア地方) では、歴史的に馬車の護衛犬として使用されていました。,精力的で、社交的で、忠実です。毎日の十分な運動と精神的刺激が必要です。,短くて密な被毛は一年中抜けます。抜け毛を管理するために週に2〜3回ブラッシングしてください。,男女とも 20 ～ 32 kg (45 ～ 70 ポンド)。,高い耐久性とスタミナ、特徴的なまだら模様の被毛、活動的な世帯との強い絆。,先天性難聴、尿路・腎臓結石（尿酸結石）、股関節形成不全、皮膚アレルギー。
dog-018,Dogs,Cavalier King Charles Spaniel,イギリスでは、20世紀に王室の愛玩犬として古いトイ・スパニエルから発展しました。,愛情深く、優しく、喜ばせることに熱心で、ほとんどの家庭に適応します。,ミディアムレングスのシルキーコート。週に 2 ～ 3 回ブラシをかけて、耳の毛羽立ちに特に注意してください。,男女とも5.4～8.2kg（12～18ポンド）。,優れた仲間気質、アパートや家族の生活への適応性、子供たちに対して優しい。,僧帽弁疾患、脊髄空洞症、股関節形成不全、長い耳による耳の感染症。
dog-019,Dogs,Australian Shepherd,アメリカという名前にもかかわらず、アメリカ西部の牧場主によって牧畜のために開発されました。,知的で、精力的で、非常に訓練しやすい。仕事や一貫した精神的な取り組みが必要です。,中程度の長さのダブルコートで、中程度から重度の抜け毛が見られます。週に2〜3回ブラッシングしてください。,男性: 25 ～ 32 kg (55 ～ 70 ポンド)。女性: 16 ～ 25 kg (35 ～ 55 ポンド)。,卓越した牧畜能力と敏捷性、訓練のしやすさ、ドッグスポーツにおける多用途性、強力な労働意欲。,股関節形成不全、コリー眼異常、てんかん、MDR1薬剤感受性遺伝子変異。
dog-020,Dogs,Bernese Mountain Dog,スイスアルプスは、スイスの農家によって農場犬および徴用犬として飼育されました。,穏やかで愛情深く、穏やかで家族思いの優しい性格。,長くて厚いダブルコートで、抜け毛が多い。週に2〜3回、換毛期には毎日ブラッシングしてください。,男性: 38 ～ 50 kg (84 ～ 110 ポンド)。女性: 36 ～ 45 kg (79 ～ 99 ポンド)。,穏やかな巨人の気質、強い家族の絆、耐寒性、優れた作業/ドラフト能力。,癌（特に組織球性肉腫）、股関節および肘の異形成、膨満、平均寿命の短縮（7〜9歳）。
dog-021,Dogs,Cocker Spaniel,イギリス/アメリカ、ヤマシギを洗い流すための銃猟犬として開発されました。,優しく、愛情深く、喜ばせることに熱心で、家族に対しても社交的です。,ミディアムレングスの絹のような被毛には、週に3～4回のブラッシングと定期的なプロによるトリミングが必要です。,オス: 12-16 kg (26-34 ポンド)。女性: 11 ～ 14.5 kg (24 ～ 32 ポンド)。,優れた家族連れ、しつけのしやすさ、子供との付き合いが良好、適度な運動の必要性。,長い耳による耳の感染症、進行性網膜萎縮症、股関節形成不全、脂漏症（皮膚の状態）。
dog-022,Dogs,Pug,チャイナ犬は最古の犬種のひとつで、中国皇帝の伴侶として飼育されてきました。,魅力的で、愛情深く、社交的で、エネルギーが低い。交友関係で成長します。,短く滑らかな被毛で、抜け毛が目立ちます。毎週のブラッシングと顔のしわの定期的なクリーニング。,男女とも6.3～8.2kg（14～18ポンド）。,優れたアパートの仲間、運動量の少なさ、愛情深く、気楽な性格。,短頭種気道症候群、肥満、皮膚ひだ皮膚炎、眼球突出、半脊椎。
dog-023,Dogs,Shiba Inu,日本最古の在来犬種のひとつで、元々は小型の獲物を狩るために使われていました。,独立心があり、警戒心が強く、大胆で、どこか猫のような孤高の性格。意志の強い。,厚いダブルコートで、季節ごとに抜け毛が多くなります。週に2〜3回、コートブロー中に毎日ブラッシングしてください。,オス: 10 ～ 13 kg (22 ～ 29 ポンド)。女性: 8 ～ 11 kg (17 ～ 24 ポンド)。,コンパクトなサイズ、低臭、清潔（身だしなみ習慣）、強い自立作業意欲。,股関節および膝蓋骨脱臼、アレルギー、緑内障、進行性網膜萎縮症。
